CUNY New York City College of Technology|300 Jay St|Brooklyn|NY|11201
CUNY Queens College|65 30 Kissena Blvd|Flushing|NY|11367
CUNY Queensborough Community College|222-05 56th Ave|Bayside|NY|11364
CUNY School of Law at Queens College|65-21 Main St|Flushing|NY|11367
CUNY York College|94-20 Guy R Brewer Blvd|Jamaica|NY|11451
CVPH Medical Center School of Radiologic Technology|75 Beekman St|Plattsburgh|NY|12901
D'Youville College|320 Porter Ave|Buffalo|NY|14201
Daemen College|4380 Main St|Amherst|NY|14226
Darkei Noam Rabbinical College|2822 Ave J|Brooklyn|NY|11210
Dominican College of Blauvelt|470 Western Hwy|Orangeburg|NY|10962
Dowling College|Idle Hour Blvd|Oakdale|NY|11769
Dutchess Community College|53 Pendell Rd|Poughkeepsie|NY|12601
Ellis Hospital|1101 Nott St|Schenectady|NY|12308
Elmira Business Institute|303 North Main Street|Elmira|NY|14901
Elmira College|One Park Place|Elmira|NY|14901
Erie Community College - North Campus|6205 Main Street|Williamsville|NY|14221
Erie Community College - South Campus|4041 Southwestern Boulevard|Orchard Park|NY|14127
Erie Community College|121 Ellicott St|Buffalo|NY|14203
Fashion Institute of Technology|Seventh Avenue At 27th Street|New York|NY|10001
FEGS Trades and Business School|80 Vandam Street|New York|NY|10013
Finger Lakes Community College|4355 Lake Shore Dr|Canandaigua|NY|14424
Five Towns College|305 North Service Road|Dix Hills|NY|11746
Fordham University|441 E Fordham Rd|Bronx|NY|10458
French Culinary Institute|462 Broadway|New York|NY|10013
Fulton-Montgomery Community College|2805 State Hwy 67|Johnstown|NY|12095
Gemological Institute of America-New York|270 Madison Avenue 2nd Floor|New York|NY|10016
The General Theological Seminary|175 9th Ave|New York|NY|10011
Genesee Community College|One College Rd|Batavia|NY|14020
Global Business Institute - Far Rockaway|1931 Mott Ave|Far Rockaway|NY|11691
Hamilton College|198 College Hill Rd|Clinton|NY|13323
Hartwick College|One Hartwick Drive|Oneonta|NY|13820
Helene Fuld College of Nursing|26 East 120th Street|New York|NY|10035
Herkimer County Community College|100 Reservoir Road|Herkimer|NY|13350
Hilbert College|5200 S Park Ave|Hamburg|NY|14075
Hobart & William Smith Colleges|337 Pulteney Street|Geneva|NY|14456
Hofstra University|100 Hofstra University|Hempstead|NY|11549
Houghton College|1 Willard Ave|Houghton|NY|14744
Hudson Valley Community College|80 Vandenburgh Ave|Troy|NY|12180
Hunter Business School|3601 Hempstead Turnpike|Levittown|NY|11756
Institute of Design and Construction|141 Willoughby St|Brooklyn|NY|11201
Institute of Allied Medical Professions|225 West 34th Street, Suite 1200|New York|NY|10122
Institute of Audio Research|64 University Pl|New York|NY|10003
Interboro Institute|450 W 56th Street|New York|NY|10019
Iona College|715 North Ave|New Rochelle|NY|10801
Isabella Graham Hart School of Practical Nursing|333 Humboldt Street|Rochester|NY|14610
Island Drafting and Technical Institute|128 Broadway Rte 110|Amityville|NY|11701
Ithaca College|953 Danby Rd|Ithaca|NY|14850
Jamestown Community College|525 Falconer St|Jamestown|NY|14701
Jamestown Business College|7 Fairmount Avenue|Jamestown|NY|14701
Jefferson Community College|1220 Coffeen St|Watertown|NY|13601
Jewish Theological Seminary of America|3080 Broadway|New York|NY|10027
The Juilliard School|60 Lincoln Center Plaza|New York|NY|10023
Katharine Gibbs School - New York City|50 West 40 Street|New York|NY|10018
SBI Campus - An Affiliate of Sanford-Brown|320 South Service Road|Melville|NY|11747
Kehilath Yakov Rabbinical Seminary|638 Bedford Avenue|Brooklyn|NY|11211
Keuka College|141 Central Avenue|Keuka Park|NY|14478
Kol Yaakov Torah Center|29 W Maple Ave|Monsey|NY|10952
Laboratory Institute of Merchandising|12 E 53rd St|New York|NY|10022
Le Moyne College|1419 Salt Springs Rd|Syracuse|NY|13214
Long Island University - C W Post Campus|720 Northern Blvd|Brookville|NY|11548
Long Island Beauty School Inc|173-A  Fulton Ave|Hempstead|NY|11550
Long Island College Hospital|339 Hicks Street|Brooklyn|NY|11201
Machzikei Hadath Rabbinical College|5407 16th Avenue|Brooklyn|NY|11204
Mandl School|254 West 54th Street|New York|NY|10019
Manhattan College|Manhattan College Pky|Riverdale|NY|10471
Manhattan School of Music|120 Claremont Ave|New York|NY|10027
Manhattanville College|2900 Purchase Street|Purchase|NY|10577
Maria College|700 New Scotland Avenue|Albany|NY|12208
